Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-3800,Antiviral,Allergy Relief,Drowsiness,Capsule,773 mg,OTC,MediLife,1985,A antiviral used for allergy relief.,208.58,Discontinued
Drug-8005,Analgesic,Depression,"Headache, Fatigue",Tablet,938 mg,Prescription,Global Remedies,1985,A analgesic used for depression.,116.05,Discontinued
Drug-4690,Antihistamine,Blood Pressure Control,"Headache, Fatigue",Injection,432 mg,OTC,HealthPlus,1982,A antihistamine used for blood pressure control.,397.19,Discontinued
Drug-8848,Antifungal,Anxiety Reduction,"Stomach Upset, Nausea",Gel,188 mg,Prescription,HealthPlus,1980,A antifungal used for anxiety reduction.,186.23,Discontinued
Drug-5997,Antidiabetic,Allergy Relief,Stomach Upset,Gel,434 mg,OTC,Global Remedies,1988,A antidiabetic used for allergy relief.,84.38,Discontinued
Drug-1418,Antidiabetic,Pain Relief,"Fatigue, Drowsiness, Dizziness",Syrup,531 mg,Prescription,HealthPlus,2001,A antidiabetic used for pain relief.,381.71,Discontinued
Drug-1313,Antihistamine,Pain Relief,"Headache, Fatigue, Drowsiness",Gel,605 mg,Prescription,Global Remedies,1990,A antihistamine used for pain relief.,375.21,Discontinued
Drug-5179,Antihypertensive,Pain Relief,"Nausea, Drowsiness, Dizziness",Gel,314 mg,Prescription,Global Remedies,1993,A antihypertensive used for pain relief.,13.04,Active
Drug-2614,Antiseptic,Infection,"Stomach Upset, Drowsiness, Nausea",Cream,302 mg,Prescription,PharmaCorp,2011,A antiseptic used for infection.,372.85,Active
Drug-1233,Antihypertensive,Wound Cleaning,Stomach Upset,Injection,251 mg,Prescription,MediLife,2002,A antihypertensive used for wound cleaning.,389.23,Active
Drug-5891,Antifungal,Fungal Infection,"Dizziness, Nausea",Tablet,963 mg,OTC,Global Remedies,2017,A antifungal used for fungal infection.,65.9,Discontinued
Drug-7413,Antihistamine,Allergy Relief,Nausea,Gel,380 mg,OTC,HealthPlus,2018,A antihistamine used for allergy relief.,321.13,Active
Drug-5968,Antihistamine,Blood Pressure Control,"Headache, Dizziness",Cream,105 mg,OTC,HealthPlus,1987,A antihistamine used for blood pressure control.,256.19,Discontinued
Drug-9503,Antiviral,Pain Relief,Dizziness,Gel,825 mg,OTC,Global Remedies,1987,A antiviral used for pain relief.,245.99,Discontinued
Drug-1012,Antihypertensive,Anxiety Reduction,"Stomach Upset, Headache",Syrup,84 mg,OTC,Global Remedies,2001,A antihypertensive used for anxiety reduction.,125.53,Active
Drug-5936,Antibiotic,Fungal Infection,"Fatigue, Dizziness, Nausea",Gel,949 mg,OTC,PharmaCorp,2017,A antibiotic used for fungal infection.,163.79,Active
Drug-3921,Antiseptic,Pain Relief,"Fatigue, Stomach Upset",Cream,31 mg,OTC,MediLife,2005,A antiseptic used for pain relief.,41.59,Active
Drug-4640,Sedative,Infection,Nausea,Injection,718 mg,OTC,BioSynth,1980,A sedative used for infection.,83.06,Active
Drug-6751,Antibiotic,Anxiety Reduction,"Dizziness, Drowsiness",Gel,703 mg,Prescription,HealthPlus,2016,A antibiotic used for anxiety reduction.,85.23,Active
Drug-2822,Antihistamine,Fungal Infection,"Dizziness, Stomach Upset, Drowsiness",Gel,465 mg,Prescription,BioSynth,2015,A antihistamine used for fungal infection.,293.62,Active
Drug-5218,Antiviral,Diabetes,Nausea,Capsule,778 mg,Prescription,Global Remedies,2011,A antiviral used for diabetes.,124.14,Discontinued
Drug-1716,Sedative,Fungal Infection,"Stomach Upset, Nausea, Headache",Tablet,518 mg,Prescription,MediLife,1994,A sedative used for fungal infection.,48.62,Active
Drug-6388,Antidepressant,Infection,Drowsiness,Tablet,666 mg,OTC,Global Remedies,2011,A antidepressant used for infection.,332.24,Active
Drug-3107,Antiseptic,Diabetes,Nausea,Capsule,358 mg,Prescription,HealthPlus,2020,A antiseptic used for diabetes.,8.92,Active
Drug-8912,Antidiabetic,Allergy Relief,"Stomach Upset, Dizziness, Nausea",Tablet,607 mg,Prescription,HealthPlus,2004,A antidiabetic used for allergy relief.,301.69,Active
Drug-7759,Antidepressant,Virus Management,"Drowsiness, Nausea",Capsule,208 mg,OTC,HealthPlus,1991,A antidepressant used for virus management.,145.38,Active
Drug-1301,Antidepressant,Pain Relief,"Stomach Upset, Fatigue, Dizziness",Syrup,664 mg,Prescription,HealthPlus,2001,A antidepressant used for pain relief.,94.11,Discontinued
Drug-8084,Antibiotic,Pain Relief,"Stomach Upset, Dizziness",Cream,817 mg,Prescription,HealthPlus,2016,A antibiotic used for pain relief.,242.57,Active
Drug-5703,Antibiotic,Anxiety Reduction,Drowsiness,Cream,338 mg,OTC,Global Remedies,1981,A antibiotic used for anxiety reduction.,180.28,Discontinued
Drug-9465,Antiseptic,Diabetes,"Headache, Fatigue",Capsule,546 mg,Prescription,Global Remedies,2020,A antiseptic used for diabetes.,126.91,Discontinued
Drug-7294,Antidepressant,Pain Relief,"Headache, Fatigue, Drowsiness",Gel,229 mg,OTC,Global Remedies,1990,A antidepressant used for pain relief.,318.45,Active
Drug-8037,Antiviral,Wound Cleaning,"Nausea, Drowsiness, Headache",Injection,101 mg,Prescription,HealthPlus,1987,A antiviral used for wound cleaning.,425.48,Active
Drug-8544,Antiviral,Pain Relief,"Stomach Upset, Fatigue, Dizziness",Capsule,151 mg,Prescription,MediLife,2003,A antiviral used for pain relief.,238.31,Discontinued
Drug-7861,Antifungal,Fungal Infection,"Fatigue, Drowsiness, Stomach Upset",Cream,,OTC,BioSynth,1994,A antifungal used for fungal infection.,315.28,Discontinued
Drug-9160,Antiviral,Allergy Relief,Fatigue,Syrup,72 mg,OTC,MediLife,2022,A antiviral used for allergy relief.,246.44,Active
Drug-5507,Sedative,Anxiety Reduction,Drowsiness,Cream,201 mg,Prescription,BioSynth,2004,A sedative used for anxiety reduction.,150.25,Discontinued
Drug-5688,Sedative,Allergy Relief,"Fatigue, Headache",Gel,216 mg,Prescription,BioSynth,1992,A sedative used for allergy relief.,336.49,Discontinued
Drug-4014,Antihypertensive,Wound Cleaning,"Fatigue, Headache",Gel,515 mg,OTC,PharmaCorp,2001,A antihypertensive used for wound cleaning.,84.61,Discontinued
Drug-9558,Antiseptic,Blood Pressure Control,Stomach Upset,Syrup,949 mg,Prescription,Global Remedies,1989,A antiseptic used for blood pressure control.,168.88,Discontinued
Drug-6170,Sedative,Diabetes,"Dizziness, Drowsiness, Headache",Syrup,713 mg,Prescription,PharmaCorp,2019,A sedative used for diabetes.,201.66,Discontinued
Drug-9676,Antiviral,Virus Management,"Headache, Stomach Upset, Fatigue",Syrup,238 mg,Prescription,PharmaCorp,2013,A antiviral used for virus management.,122.38,Active
Drug-8747,Antidepressant,Wound Cleaning,"Stomach Upset, Nausea",Cream,932 mg,OTC,Global Remedies,2012,A antidepressant used for wound cleaning.,121.72,Active
Drug-7014,Antidepressant,Virus Management,"Dizziness, Nausea, Headache",Cream,863 mg,OTC,Global Remedies,2004,A antidepressant used for virus management.,376.86,Active
Drug-2910,Antibiotic,Depression,"Drowsiness, Stomach Upset",Tablet,502 mg,OTC,HealthPlus,1988,A antibiotic used for depression.,71.54,Discontinued
Drug-1238,Analgesic,Virus Management,"Headache, Stomach Upset, Dizziness",Gel,277 mg,Prescription,MediLife,1996,A analgesic used for virus management.,498.54,Active
Drug-5724,Antihypertensive,Infection,"Fatigue, Stomach Upset",Tablet,838 mg,Prescription,HealthPlus,1997,A antihypertensive used for infection.,67.36,Active
Drug-8806,Antibiotic,Blood Pressure Control,"Stomach Upset, Drowsiness, Fatigue",Tablet,731 mg,Prescription,HealthPlus,2003,A antibiotic used for blood pressure control.,86.07,Discontinued
Drug-1435,Antidepressant,Virus Management,"Fatigue, Headache",Cream,397 mg,Prescription,Global Remedies,1990,A antidepressant used for virus management.,488.78,Active
Drug-7405,Antibiotic,Allergy Relief,"Drowsiness, Dizziness, Stomach Upset",Tablet,138 mg,Prescription,MediLife,2000,A antibiotic used for allergy relief.,133.3,Active
Drug-7803,Antidiabetic,Infection,Drowsiness,Tablet,915 mg,Prescription,BioSynth,2007,A antidiabetic used for infection.,443.22,Active
Drug-3279,Antifungal,Fungal Infection,Dizziness,Injection,577 mg,OTC,HealthPlus,2006,A antifungal used for fungal infection.,98.53,Active
Drug-4982,Antiseptic,Depression,"Headache, Dizziness",Injection,891 mg,Prescription,HealthPlus,2015,A antiseptic used for depression.,445.24,Active
Drug-7686,Antihistamine,Diabetes,"Fatigue, Dizziness",Syrup,970 mg,OTC,MediLife,2000,A antihistamine used for diabetes.,113.8,Discontinued
Drug-2575,Antiseptic,Allergy Relief,"Headache, Fatigue",Cream,459 mg,OTC,MediLife,1980,A antiseptic used for allergy relief.,79.38,Discontinued
Drug-3552,Antiseptic,Allergy Relief,"Drowsiness, Stomach Upset, Dizziness",Capsule,901 mg,OTC,Global Remedies,1985,A antiseptic used for allergy relief.,440.56,Discontinued
Drug-7195,Sedative,Pain Relief,"Dizziness, Fatigue, Headache",Injection,261 mg,OTC,BioSynth,1999,A sedative used for pain relief.,315.86,Active
Drug-9555,Antihistamine,Pain Relief,"Drowsiness, Stomach Upset",Syrup,410 mg,OTC,Global Remedies,1994,A antihistamine used for pain relief.,13.81,Discontinued
Drug-1305,Analgesic,Blood Pressure Control,"Headache, Nausea, Drowsiness",Cream,890 mg,OTC,PharmaCorp,2019,A analgesic used for blood pressure control.,189.49,Discontinued
Drug-6889,Antifungal,Pain Relief,Headache,Capsule,127 mg,OTC,HealthPlus,2000,A antifungal used for pain relief.,392.04,Discontinued
Drug-9192,Antihistamine,Infection,"Headache, Drowsiness",Cream,928 mg,OTC,MediLife,2007,A antihistamine used for infection.,9.33,Active
Drug-9205,Antibiotic,Virus Management,"Headache, Stomach Upset",Tablet,719 mg,OTC,Global Remedies,2013,A antibiotic used for virus management.,399.58,Discontinued
Drug-6176,Antihistamine,Wound Cleaning,"Nausea, Dizziness",Tablet,628 mg,Prescription,MediLife,2021,A antihistamine used for wound cleaning.,39.98,Discontinued
Drug-8715,Antiviral,Wound Cleaning,"Dizziness, Fatigue, Nausea",Gel,706 mg,OTC,HealthPlus,1993,A antiviral used for wound cleaning.,174.87,Discontinued
Drug-7162,Antiviral,Depression,Headache,Gel,532 mg,OTC,Global Remedies,1983,A antiviral used for depression.,9.33,Active
Drug-2623,Antibiotic,Depression,"Headache, Drowsiness, Nausea",Capsule,223 mg,OTC,MediLife,2005,A antibiotic used for depression.,187.3,Active
Drug-3994,Analgesic,Fungal Infection,"Nausea, Stomach Upset",Capsule,407 mg,Prescription,PharmaCorp,2004,A analgesic used for fungal infection.,484.12,Active
Drug-1109,Antidiabetic,Infection,Stomach Upset,Injection,789 mg,Prescription,MediLife,2004,A antidiabetic used for infection.,446.08,Active
Drug-2190,Antiviral,Virus Management,"Headache, Fatigue, Drowsiness",Cream,820 mg,OTC,MediLife,2016,A antiviral used for virus management.,141.66,Active
Drug-8117,Analgesic,Wound Cleaning,Stomach Upset,Capsule,824 mg,Prescription,Global Remedies,1993,A analgesic used for wound cleaning.,431.34,Active
Drug-8850,Antidiabetic,Fungal Infection,"Fatigue, Headache, Dizziness",Capsule,241 mg,OTC,MediLife,2004,A antidiabetic used for fungal infection.,248.7,Active
Drug-5076,Antiviral,Fungal Infection,"Fatigue, Stomach Upset",Gel,675 mg,OTC,BioSynth,2015,A antiviral used for fungal infection.,200.46,Active
Drug-9981,Antihistamine,Wound Cleaning,Nausea,Gel,36 mg,OTC,Global Remedies,2022,A antihistamine used for wound cleaning.,148.83,Active
Drug-2573,Antihistamine,Allergy Relief,Drowsiness,Tablet,570 mg,Prescription,HealthPlus,2015,A antihistamine used for allergy relief.,68.48,Discontinued
Drug-5274,Sedative,Depression,"Fatigue, Dizziness",Capsule,905 mg,OTC,MediLife,1989,A sedative used for depression.,364.87,Active
Drug-8818,Antifungal,Wound Cleaning,"Stomach Upset, Dizziness, Fatigue",Gel,285 mg,OTC,MediLife,2001,A antifungal used for wound cleaning.,115.46,Active
Drug-2945,Sedative,Anxiety Reduction,Fatigue,Syrup,380 mg,OTC,Global Remedies,1983,A sedative used for anxiety reduction.,83.27,Discontinued
Drug-2407,Antihypertensive,Infection,Drowsiness,Tablet,940 mg,Prescription,Global Remedies,1981,A antihypertensive used for infection.,268.63,Discontinued
Drug-9934,Analgesic,Infection,Stomach Upset,Gel,209 mg,OTC,MediLife,1982,A analgesic used for infection.,411.42,Active
Drug-1066,Antifungal,Blood Pressure Control,Drowsiness,Syrup,805 mg,Prescription,BioSynth,1981,A antifungal used for blood pressure control.,100.21,Discontinued
Drug-5695,Antifungal,Virus Management,Headache,Injection,950 mg,OTC,PharmaCorp,1989,A antifungal used for virus management.,390.24,Discontinued
Drug-9616,Antidepressant,Virus Management,Stomach Upset,Injection,681 mg,Prescription,MediLife,1982,A antidepressant used for virus management.,216.83,Discontinued
Drug-4662,Antidepressant,Pain Relief,"Fatigue, Nausea",Capsule,565 mg,Prescription,MediLife,1992,A antidepressant used for pain relief.,416.66,Active
Drug-2375,Antiseptic,Fungal Infection,Dizziness,Syrup,402 mg,OTC,Global Remedies,2000,A antiseptic used for fungal infection.,297.08,Active
Drug-1435,Antiviral,Wound Cleaning,Dizziness,Syrup,389 mg,Prescription,BioSynth,2016,A antiviral used for wound cleaning.,175.74,Active
Drug-3607,Antihypertensive,Allergy Relief,"Dizziness, Nausea",Tablet,422 mg,OTC,PharmaCorp,2020,A antihypertensive used for allergy relief.,431.18,Active
Drug-3006,Antiviral,Diabetes,Stomach Upset,Cream,165 mg,Prescription,MediLife,1995,A antiviral used for diabetes.,265,Discontinued
Drug-5944,Antihypertensive,Pain Relief,"Headache, Drowsiness",Tablet,785 mg,OTC,BioSynth,2015,A antihypertensive used for pain relief.,37.41,Discontinued
Drug-1819,Antibiotic,Wound Cleaning,"Stomach Upset, Nausea",Tablet,66 mg,Prescription,PharmaCorp,2007,A antibiotic used for wound cleaning.,407.5,Active
Drug-4731,Antidepressant,Blood Pressure Control,Drowsiness,Tablet,320 mg,OTC,MediLife,2013,A antidepressant used for blood pressure control.,29.69,Discontinued
Drug-5181,Antibiotic,Anxiety Reduction,"Headache, Fatigue",Injection,752 mg,OTC,MediLife,2021,A antibiotic used for anxiety reduction.,192.91,Active
Drug-4021,Antibiotic,Anxiety Reduction,Fatigue,Capsule,416 mg,Prescription,Global Remedies,1994,A antibiotic used for anxiety reduction.,273.79,Active
Drug-2173,Antidepressant,Anxiety Reduction,Headache,Cream,163 mg,OTC,BioSynth,2009,A antidepressant used for anxiety reduction.,385.06,Active
Drug-6655,Analgesic,Anxiety Reduction,"Dizziness, Fatigue, Stomach Upset",,801 mg,Prescription,PharmaCorp,1996,A analgesic used for anxiety reduction.,128.16,Active
Drug-9066,Antihypertensive,Allergy Relief,Headache,Injection,265 mg,OTC,PharmaCorp,2016,A antihypertensive used for allergy relief.,62.41,Discontinued
Drug-6639,Antihypertensive,Infection,"Dizziness, Headache, Fatigue",Injection,603 mg,OTC,Global Remedies,1997,A antihypertensive used for infection.,28.27,Active
Drug-7692,Analgesic,Anxiety Reduction,"Headache, Nausea",Gel,806 mg,Prescription,HealthPlus,2017,A analgesic used for anxiety reduction.,346.84,Active
Drug-9190,Antiseptic,Diabetes,Fatigue,Gel,241 mg,OTC,BioSynth,2023,A antiseptic used for diabetes.,25.48,Active
Drug-6183,Antibiotic,Infection,"Drowsiness, Headache, Stomach Upset",Gel,42 mg,OTC,Global Remedies,1988,A antibiotic used for infection.,135.4,Discontinued
Drug-9707,Antifungal,Diabetes,"Stomach Upset, Nausea",Syrup,359 mg,Prescription,Global Remedies,2023,A antifungal used for diabetes.,153.11,Active
Drug-9768,Antidepressant,Depression,"Stomach Upset, Dizziness, Headache",Injection,95 mg,OTC,BioSynth,1980,A antidepressant used for depression.,10.56,Active
Drug-3723,Antifungal,Blood Pressure Control,"Stomach Upset, Dizziness, Nausea",Syrup,596 mg,Prescription,BioSynth,2016,A antifungal used for blood pressure control.,247.18,Active
Drug-7067,Antifungal,Pain Relief,Headache,Tablet,781 mg,Prescription,MediLife,1997,A antifungal used for pain relief.,489.76,Active
Drug-7271,Antidiabetic,Pain Relief,"Drowsiness, Dizziness, Fatigue",Syrup,27 mg,Prescription,BioSynth,2004,A antidiabetic used for pain relief.,172.65,Discontinued
Drug-8843,Antiseptic,Pain Relief,Headache,Injection,832 mg,Prescription,MediLife,2016,A antiseptic used for pain relief.,451.5,Active
Drug-4284,Antiviral,Wound Cleaning,Fatigue,Syrup,491 mg,Prescription,PharmaCorp,2000,A antiviral used for wound cleaning.,64.01,Active
Drug-8632,Antiviral,Fungal Infection,"Stomach Upset, Fatigue",Injection,613 mg,OTC,BioSynth,2000,A antiviral used for fungal infection.,363.24,Discontinued
Drug-3589,Antiviral,Allergy Relief,"Dizziness, Headache",Tablet,745 mg,OTC,MediLife,2022,A antiviral used for allergy relief.,323.42,Discontinued
Drug-9041,Antiseptic,Infection,Stomach Upset,Gel,423 mg,Prescription,Global Remedies,2004,A antiseptic used for infection.,439.57,Active
Drug-9558,Antidiabetic,Infection,Nausea,Cream,641 mg,OTC,BioSynth,1991,A antidiabetic used for infection.,134.71,Active
Drug-4119,Antiviral,Blood Pressure Control,"Dizziness, Nausea, Fatigue",Syrup,74 mg,Prescription,HealthPlus,2000,A antiviral used for blood pressure control.,38.42,Active
Drug-7553,Antiviral,Wound Cleaning,"Headache, Dizziness, Stomach Upset",Injection,975 mg,Prescription,Global Remedies,2005,A antiviral used for wound cleaning.,478.86,Discontinued
Drug-3260,Sedative,Allergy Relief,"Fatigue, Dizziness",Capsule,118 mg,Prescription,BioSynth,1983,A sedative used for allergy relief.,289.35,Active
Drug-6076,Analgesic,Infection,Nausea,Tablet,860 mg,Prescription,Global Remedies,1989,A analgesic used for infection.,141.95,Discontinued
Drug-7218,Antiseptic,Diabetes,Drowsiness,Capsule,134 mg,OTC,BioSynth,1980,A antiseptic used for diabetes.,192.93,Discontinued
Drug-7311,Sedative,Virus Management,Stomach Upset,Syrup,803 mg,Prescription,BioSynth,2002,A sedative used for virus management.,64.62,Active
Drug-8493,Antidepressant,Blood Pressure Control,Dizziness,Capsule,213 mg,OTC,HealthPlus,1997,A antidepressant used for blood pressure control.,235.07,Discontinued
Drug-8433,Antifungal,Allergy Relief,Headache,Capsule,353 mg,Prescription,HealthPlus,2000,A antifungal used for allergy relief.,42.13,Discontinued
Drug-3846,Antihypertensive,Allergy Relief,Nausea,Injection,880 mg,Prescription,BioSynth,1986,A antihypertensive used for allergy relief.,363.22,Active
Drug-2497,Sedative,Wound Cleaning,"Dizziness, Drowsiness",Injection,849 mg,OTC,HealthPlus,1995,A sedative used for wound cleaning.,253.69,Discontinued
Drug-4357,Antidepressant,Fungal Infection,"Stomach Upset, Fatigue",Tablet,503 mg,OTC,HealthPlus,2002,A antidepressant used for fungal infection.,183.8,Discontinued
Drug-1901,Antihypertensive,Virus Management,"Stomach Upset, Nausea, Headache",Gel,237 mg,Prescription,MediLife,1983,A antihypertensive used for virus management.,156.95,Discontinued
Drug-9045,Analgesic,Infection,Nausea,Syrup,533 mg,Prescription,PharmaCorp,2002,A analgesic used for infection.,28.01,Active
